ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
4904,Bill & Ted's Bogus Journey,1991,7+,6.3,54%,93
4905,Bones Brigade: An Autobiography,2012,18+,8.1,77%,90
4906,The Young and Prodigious T.S. Spivet,2013,all,7.1,76%,105
4907,Hype!,1996,,7.6,92%,84
4908,Your Vice Is a Locked Room and Only I Have the Key,1972,18+,6.8,100%,97
4909,Sign 'o' The Times,1987,13+,8.1,86%,85
4910,Ghosts of Abu Ghraib,2007,18+,7.8,100%,78
4911,The Connection,2014,18+,7.1,78%,135
4912,The Bodyguard,1992,18+,6.3,33%,60
4913,The Birth of a Nation,1915,7+,6.4,93%,195
4914,The Decline of the American Empire,1986,18+,7.2,86%,101
4915,Guava Island,2019,18+,6.7,76%,55
4916,The Kentucky Fried Movie,1977,18+,6.5,81%,83
4917,The Ninth Configuration,1980,18+,7,77%,118
4918,Chico & Rita,2010,,7.2,87%,94
4919,Rewind This!,2013,,7.1,100%,91
4920,The Bride with White Hair,1993,,6.9,100%,89
4921,Fast Color,2019,13+,6,82%,100
4922,An American Crime,2007,18+,7.3,38%,98
4923,Dick Tracy,1990,7+,6.1,62%,105
4924,Alamar,2010,all,7.3,91%,73
4925,Coffy,1973,18+,6.8,79%,90
4926,Strangled,2016,,7,83%,121
4927,Balibo,2009,,7.1,100%,111
4928,We Are Legion: The Story of the Hacktivists,2012,7+,7.3,73%,93
4929,Ashes of Time,1994,18+,7.2,78%,100
4930,Casting By,2012,16+,7.6,94%,89
4931,The Little Shop of Horrors,1960,,6.3,92%,94
4932,The Island,2006,13+,7.9,63%,136
4933,Neds,2010,16+,7,94%,124
4934,The Cutting Edge,1992,7+,6.9,56%,101
4935,Meet the Patels,2015,7+,7.2,87%,88
4936,Topkapi,1964,,7,90%,120
4937,F/X,1986,18+,6.7,88%,109
4938,Hara-Kiri: Death of a Samurai,2011,,7.3,76%,128
4939,Sui Dhaaga - Made in India,2018,7+,6.8,89%,122
4940,Chuck Norris vs Communism,2015,,7.5,100%,78
4941,Climates,2006,,7.2,73%,98
4942,The True Cost,2015,13+,7.7,63%,92
4943,Dog Pound,2010,,7,65%,91
4944,Liquid Sky,1982,18+,6.2,95%,112
4945,The Hole in the Ground,2019,18+,5.7,84%,90
4946,Dave Made a Maze,2017,,6.2,85%,80
4947,Creepy,2016,,6.3,91%,130
4948,Haunters: The Art of the Scare,2017,,6.6,100%,88
4949,The Ghazi Attack,2017,7+,7.6,60%,116
4950,Young and Innocent,1937,,6.9,100%,80
4951,The Night Eats the World,2018,16+,6,85%,93
4952,Marlina the Murderer in Four Acts,2017,,7,98%,93
4953,I Capture the Castle,2003,18+,6.9,79%,113
4954,No No: A Dockumentary,2014,,7.2,97%,100
4955,Badrinath Ki Dulhania,2017,7+,6.2,80%,139
4956,Belle and Sebastian,2013,,6.9,91%,104
4957,White Sun,2016,7+,7.1,100%,89
4958,What's in a Name,2012,7+,7.3,71%,93
4959,Bully,2001,18+,6.9,54%,108
4960,Another Country,1984,7+,7.1,80%,90
4961,The Decline of Western Civilization Part III,1998,18+,7.1,100%,86
4962,The Midnight Meat Train,2008,18+,6.1,72%,98
4963,The Living Dead at Manchester Morgue,1974,18+,6.8,85%,93
4964,Somers Town,2008,,6.9,96%,71
4965,Nothing Sacred,1937,all,6.9,100%,77
4966,Aberdeen,2000,,7.1,87%,113
4967,Mystery Road,2013,,6.6,92%,57
4968,10 Rillington Place,1971,7+,7.6,58%,111
4969,Spring in a Small Town,1948,,7.4,100%,98
4970,The Man in the Iron Mask,1998,13+,6.5,33%,132
4971,The Boys of St. Vincent,1992,,7.6,100%,93
4972,High Life,2018,18+,5.8,82%,113
4973,Under the Silver Lake,2018,18+,6.5,58%,139
4974,Jean-Michel Basquiat: The Radiant Child,2010,,7.8,86%,88
4975,The Farewell Party,2014,,7.1,94%,95
4976,Breakfast on Pluto,2005,18+,7.2,57%,128
4977,Give Up Tomorrow,2011,,7.7,100%,95
4978,The Big Easy,1986,18+,6.5,89%,102
4979,Double Dare,2004,,7.4,97%,30
4980,Amal,2007,,7.5,100%,101
4981,Finders Keepers,2015,18+,6.8,98%,82
4982,M.F.A.,2017,,6.1,78%,92
4983,After Tiller,2013,13+,7.5,92%,85
4984,You're Not You,2014,18+,7.3,48%,102
4985,Gideon's Army,2013,7+,7.7,100%,96
4986,The Rape of Europa,2007,,7.7,82%,117
4987,Mr. Calzaghe,2015,,8,100%,90
4988,Wait for Your Laugh,2017,,8.3,89%,85
4989,That Sugar Film,2014,7+,7.5,68%,90
4990,A Field in England,2013,,6.3,86%,90
4991,Meatballs,1979,7+,6.2,72%,94
4992,The Quiet Family,1998,,7,80%,101
4993,Western,2017,,7,96%,121
4994,Morvern Callar,2002,18+,6.8,84%,97
4995,Trouble Is My Business,2018,7+,6,100%,116
4996,Call Me Kuchu,2012,,7.6,98%,87
4997,Just Eat It: A Food Waste Story,2014,,7.2,100%,75
4998,Cockfighter,1974,18+,7.1,100%,83
4999,Winning: The Racing Life of Paul Newman,2015,,7.6,90%,83
5000,Best Kept Secret,2013,,7.4,100%,85
5001,The Vikings,1958,,7.1,78%,30
5002,The Soloist,2009,13+,6.7,57%,117
5003,Life with Father,1947,,7.2,92%,118
5004,Class of 1984,1982,18+,6.6,74%,98
5005,On the Edge,2001,18+,7,67%,95
5006,Electrick Children,2012,18+,6.8,88%,96
5007,Sleepless Night,2011,,6.7,97%,95
5008,East Side Sushi,2014,7+,7.1,95%,106
5009,The First Great Train Robbery,1978,7+,6.9,73%,110
5010,Conversations with Other Women,2006,18+,7,74%,84
5011,Intact,2001,18+,6.9,72%,108
5012,Apostasy,2017,16+,6.8,97%,95
5013,Oedipus Rex,1967,,7.4,86%,104
5014,Black Souls,2014,,6.8,90%,109
5015,Way Down East,1920,,7.4,94%,145
5016,The Violin,2005,,7.7,94%,98
5017,Zama,2017,,6.7,96%,115
5018,Death of a Superhero,2011,,7.1,91%,97
5019,James White,2015,18+,7.1,92%,85
5020,Images,1972,18+,7.1,69%,104
5021,99 River Street,1953,,7.4,100%,83
5022,Next,2007,13+,6.2,28%,96
5023,Grave Encounters,2011,18+,6.1,64%,92
5024,The Woman in Green,1945,,6.7,100%,68
5025,Taking Chance,2009,,7.4,57%,77
5026,Kansas City Confidential,1952,,7.4,83%,99
5027,The Street Fighter,1974,,7.1,80%,91
5028,Spun,2002,18+,6.8,37%,101
5029,Flight of the Butterflies,2012,all,6.9,100%,40
5030,This Beautiful Fantastic,2016,7+,6.9,61%,100
5031,Henri-Georges Clouzot's Inferno,2009,,7.5,100%,100
5032,The Private Life of Henry VIII,1933,,7.1,100%,97
5033,The Forbidden Room,2015,,6.1,96%,130
5034,Suddenly,1954,,6.8,100%,77
5035,In the Soup,1992,18+,7.1,92%,93
5036,Orphans of the Storm,1921,,7.4,92%,150
5037,A Late Quartet,2012,18+,7.1,76%,105
5038,Inferno,1980,18+,6.6,64%,121
5039,Frequently Asked Questions About Time Travel,2009,13+,7.1,38%,83
5040,The Vanishing,2018,18+,5.8,85%,107
5041,Antarctica: A Year on Ice,2013,7+,7.6,87%,91
5042,The Ultimate Gift,2006,7+,7.3,32%,114
5043,What Have You Done to Solange?,1972,18+,7,80%,107
5044,Things to Come,1936,,6.7,93%,102
5045,Alice Sweet Alice,1976,18+,6.5,82%,107
5046,How I Ended This Summer,2010,,7,79%,130
5047,To End All Wars,2001,18+,7,62%,125
5048,Lila Says,2005,18+,6.9,68%,89
5049,Admiral,2015,7+,7,67%,151
5050,The Fits,2016,,6.7,97%,72
5051,The Chant of Jimmie Blacksmith,1978,,7.3,100%,122
5052,Keep the Lights On,2012,,6.4,89%,101
5053,Marjorie Prime,2017,,6.3,90%,99
5054,Bunty Aur Babli,2005,7+,6.2,83%,170
5055,Fear of a Black Hat,1994,18+,7.2,86%,88
5056,The Fencer,2015,,7.1,85%,99
5057,Keep the Change,2018,,6.3,100%,94
5058,The Shooting,1966,all,6.6,100%,82
5059,Two Hands,1999,18+,7.1,67%,103
5060,The Golden Coach,1952,,7,100%,103
5061,Savior,1998,18+,7.3,56%,103
5062,Young Sherlock Holmes,1985,13+,6.8,64%,109
5063,Starry Eyes,2014,,6,74%,98
5064,Home,2009,,8.6,,94
5065,The Southerner,1945,,7.1,91%,92
5066,Orchestra Rehearsal,1978,18+,7.2,88%,70
5067,Family,2019,18+,6.3,75%,60
5068,Narco Cultura,2013,18+,7.2,89%,103
5069,Harmontown,2014,,7.3,79%,
5070,Baby Boom,1987,7+,6.2,75%,110
5071,Oddball,2015,7+,6.4,87%,95
5072,Dr. Jekyll and Mr. Hyde,1920,,7,92%,98
5073,Tiger Zinda Hai,2017,7+,6,73%,161
5074,Ill Manors,2012,13+,7.1,77%,121
5075,Hollywood Shuffle,1987,18+,7,88%,78
5076,They Look Like People,2016,,5.9,92%,80
5077,American Grindhouse,2011,,7.1,86%,80
5078,The Winslow Boy,1999,all,7.3,97%,117
5079,The Retrieval,2014,18+,6.6,93%,92
5080,The Comedy of Terrors,1964,,6.7,89%,84
5081,11:55,2017,18+,4.9,100%,80
5082,Everlasting,2016,,6.6,100%,85
5083,Cobra Verde,1987,,7,82%,111
5084,Cutter's Way,1981,18+,6.9,91%,109
5085,Sweet Land,2005,7+,7.1,85%,110
5086,T-Men,1948,,7,100%,92
5087,The Family I Had,2017,,6.9,100%,77
5088,Twist of Faith,2005,18+,7.2,100%,85
5089,Brad's Status,2017,18+,6.5,80%,102
5090,Super Inframan,1975,7+,6.3,100%,88
5091,Trilogy of Terror,1975,,6.6,91%,72
5092,102 Not Out,2018,7+,7.4,67%,102
5093,Cash Only,2015,,6.1,100%,91
5094,Detainment,2018,18+,7.4,83%,30
5095,Hichki,2018,7+,7.5,55%,116
5096,The English Surgeon,2009,16+,8.1,89%,94
5097,The Dirties,2013,,6.9,81%,83
5098,Unplanned,2019,18+,5.8,40%,109
5099,The Front,1976,7+,7.3,73%,95
5100,College,1927,,7.1,89%,30
5101,Never Grow Old,2019,18+,5.9,90%,100
5102,Seoul Station,2016,,6.1,100%,92
5103,Across 110th Street,1972,18+,7,81%,102
5104,Ice Mother,2017,,6.8,100%,106
5105,Royal Wedding,1951,,6.7,92%,93
5106,Almost Holy,2015,18+,7.5,98%,96
5107,The Assassin,2015,,6.3,80%,109
5108,Bad Samaritan,2018,18+,6.4,53%,110
5109,Stations of the Cross,2014,,7.4,92%,110
5110,Eden,2012,18+,6.6,86%,131
5111,Love on a Leash,2011,,9.3,,90
5112,Dreams with Sharp Teeth,2008,,7.8,100%,96
5113,Little Big Man,1970,13+,7.6,96%,139
5114,Jellyfish,2007,,7,87%,101
5115,Do You Trust this Computer?,2018,,7.4,71%,78
5116,The King of Masks,1995,,7.7,89%,91
5117,Big Eden,2000,13+,7.3,65%,118
5118,The Cat o' Nine Tails,1971,,6.7,81%,112
5119,Brimstone,2016,18+,7.1,41%,148
5120,LFO,2013,,6.6,100%,94
5121,Cyrano de Bergerac,1950,,7.5,85%,137
5122,Rabid,1977,18+,6.3,73%,107
5123,Of Human Bondage,1934,,7.2,85%,83
5124,Kung Fu Jungle,2014,,6.5,75%,100
5125,Hagazussa,2018,,5.9,96%,102
5126,Euthanizer,2017,,6.8,87%,85
5127,The Marriage Circle,1924,,7.2,100%,85
5128,The World Before Your Feet,2018,13+,7.6,100%,95
5129,On Any Sunday,1971,all,7.8,83%,96
5130,In Which We Serve,1942,,7.2,89%,114
5131,The Children Act,2017,18+,6.7,74%,105
5132,Convoy,1978,7+,6.4,43%,110
5133,What Will People Say,2017,,7.4,78%,106
5134,The Exorcist III,1990,18+,6.4,59%,110
5135,Off the Rails,2016,16+,7.1,100%,
5136,Long Weekend,1978,13+,6.6,86%,97
5137,Return of the Hero,2018,13+,6.5,80%,90
5138,Kid Cannabis,2014,,6.4,71%,110
5139,Beauty Is Embarrassing,2012,,7.4,91%,88
5140,Blue My Mind,2018,,6.1,77%,97
5141,The Inspector General,1949,,6.8,90%,102
5142,Animal Factory,2000,18+,6.6,82%,94
5143,Shanghai Triad,1995,18+,7.1,87%,108
5144,Gloria Bell,2018,18+,6.3,91%,102
5145,The Prophecy,1995,18+,6.5,43%,98
5146,Manufactured Landscapes,2006,,7.3,84%,86
5147,"Cairo 6,7,8",2010,,7.5,80%,100
5148,The Way of the Gun,2000,18+,6.7,45%,119
5149,Soapdish,1991,13+,6.6,69%,97
5150,The Third Murder,2017,18+,6.7,86%,124
5151,Big Fan,2009,18+,6.7,86%,88
5152,Night Owls,2015,18+,6.2,100%,90
5153,Call Me Lucky,2015,,7.6,85%,106
5154,Anand,1971,18+,8.7,,122
5155,The Mule,2014,,6.3,87%,116
5156,The Shout,1978,18+,6.7,86%,86
5157,The Dark,2018,,5.6,87%,99
5158,The Irish Pub,2013,,7.3,100%,76
5159,Charlie's Country,2013,,7.2,95%,108
5160,Autoluminescent: Rowland S. Howard,2011,,7.9,100%,110
5161,Never on Sunday,1960,,7.3,67%,91
5162,The Gateway,2018,13+,5.5,63%,90
5163,The Pope's Toilet,2007,,7.3,88%,90
5164,Hot Summer Nights,2018,18+,6.4,43%,107
5165,Robin Hood,1922,7+,7.2,100%,140
5166,Palo Alto,2014,18+,6.2,69%,100
5167,Ray Harryhausen: Special Effects Titan,2011,7+,7.5,92%,90
5168,The Goldfinch,2019,18+,6.2,24%,149
5169,Park Row,1952,,7.2,100%,83
5170,Kundo: Age of the Rampant,2014,,6.8,82%,137
5171,Book Club,2018,13+,6.1,55%,104
5172,King of the Ants,2003,18+,6.2,100%,102
5173,The Opposite of Sex,1998,18+,6.3,80%,105
5174,Hidden Agenda,1990,18+,6.9,83%,108
5175,The Italian,2005,13+,7.5,91%,90
5176,Photograph,2019,13+,6.8,79%,110
5177,Night Comes On,2018,,6.5,100%,86
5178,Untold Scandal,2003,,6.9,87%,32
5179,The Hanging Garden,1997,18+,6.8,94%,91
5180,Dreamchild,1985,7+,6.8,100%,94
5181,Unmistaken Child,2009,7+,7.5,81%,102
5182,22 Bullets,2010,,6.7,46%,117
5183,The Scarlet Pimpernel,1934,,7.4,88%,142
5184,The Story of Luke,2013,,7.2,83%,96
5185,Lost Angels: Skid Row Is My Home,2012,,7.5,100%,77
5186,Always Shine,2016,,5.6,92%,85
5187,Elizabethtown,2005,13+,6.4,29%,123
5188,After the Dark,2013,18+,5.7,71%,107
5189,G.B.F.,2013,18+,5.9,80%,92
5190,I Spit on Your Grave,2010,18+,6.3,33%,108
5191,American Gigolo,1980,18+,6.2,68%,117
5192,Outfoxed: Rupert Murdoch's War on Journalism,2004,,7.5,85%,75
5193,Upside Down: The Creation Records Story,2010,18+,7.2,100%,101
5194,White Zombie,1932,,6.3,86%,69
5195,Pork Chop Hill,1959,,7.1,83%,97
5196,As If I Am Not There,2010,,7.2,85%,109
5197,The Special Relationship,2010,16+,6.7,86%,93
5198,Woman on the Run,1950,7+,7.3,83%,77
5199,Louis C.K.: Shameless,2007,18+,8.6,,56
5200,Code Black,2014,,7.2,88%,42
5201,The Departure,2017,,7,100%,70
5202,We Have Always Lived in the Castle,2019,,5.6,86%,90
5203,King Corn,2007,all,7,96%,88
5204,"People, Places, Things",2015,18+,6.9,76%,
5205,Something from Nothing: The Art of Rap,2012,18+,7.2,86%,106
5206,The Age of Stupid,2009,13+,7,73%,92
5207,Chris & Don: A Love Story,2007,13+,7.5,94%,90
5208,Angels Wear White,2017,16+,7.2,94%,107
5209,King and Country,1964,7+,7.4,86%,88
5210,Mr. Majestyk,1974,7+,6.8,77%,103
5211,Two Night Stand,2014,18+,6.4,38%,86
5212,The Four Feathers,2002,13+,6.5,41%,132
5213,The Joneses,2010,18+,6.5,63%,96
5214,Top Spin,2014,,6.9,100%,80
5215,Orange County,2002,13+,6.2,46%,44
5216,Saturday Church,2017,,6.3,93%,82
5217,London River,2009,,6.8,91%,84
5218,A Vigilante,2018,18+,5.6,92%,91
5219,Tumhari Sulu,2017,,7,83%,150
5220,The Hornet's Nest,2014,18+,6.6,72%,93
5221,A Quiet Passion,2016,13+,6.4,92%,125
5222,The Trotsky,2010,,6.8,79%,120
5223,We Live in Public,2009,,7.2,82%,
5224,"Accidental Courtesy: Daryl Davis, Race & America",2016,,7.6,83%,96
5225,The House That Dripped Blood,1971,7+,6.6,85%,102
5226,King Lear,2018,16+,6.1,91%,115
5227,The Big Kahuna,2000,18+,6.6,73%,90
5228,Bolivia,2001,,7.3,100%,75
5229,The Story of Louis Pasteur,1936,,7.3,100%,86
5230,Dressed to Kill,1946,,6.9,80%,104
5231,Master of the Universe,2013,all,7.2,100%,88
5232,On Chesil Beach,2018,18+,6.3,67%,110
5233,McKellen: Playing the Part,2018,7+,7.3,100%,92
5234,Beauty Mark,2017,,6.5,100%,87
5235,Airplane II: The Sequel,1982,7+,6.2,42%,85
5236,The Lady Vanishes,1938,,7.8,,96
5237,Nuts!,2016,,7.1,94%,79
5238,White Lightning,1973,7+,6.4,86%,101
5239,The Chosen,1981,7+,7.1,75%,
5240,North Dallas Forty,1979,18+,6.9,83%,119
5241,Hawks and Sparrows,1966,,7.3,82%,89
5242,A Bucket of Blood,1959,,6.7,77%,66
5243,Jab We Met,2007,13+,7.9,,138
5244,Funeral in Berlin,1966,,6.9,67%,102
5245,Mid-August Lunch,2008,,7,88%,75
5246,Crush the Skull,2015,,5.7,100%,80
5247,Puncture,2011,18+,6.8,52%,100
5248,The Light of the Moon,2017,,6.2,97%,90
5249,Destination Wedding,2018,18+,6,53%,87
5250,The Blood Is at the Doorstep,2017,,6.5,100%,90
5251,Comic-Con Episode IV: A Fan's Hope,2011,13+,7,82%,88
5252,Three Came Home,1950,,7.3,100%,106
5253,Shade,2003,18+,6.3,67%,101
5254,Big Sonia,2017,,7.5,94%,93
5255,Wonderstruck,2017,7+,6.2,68%,116
5256,Saint Ralph,2005,13+,7.3,64%,98
5257,Bad Hair,2013,,6.9,95%,115
5258,Society,1989,18+,6.5,55%,99
5259,A Farewell to Arms,1932,7+,6.5,93%,80
5260,Stigmata,1999,18+,6.2,22%,103
5261,"Tomorrow, When the War Began",2010,18+,6.2,64%,103
5262,The Iron Mask,1929,,7.1,100%,120
5263,The Poughkeepsie Tapes,2007,18+,6.1,60%,81
5264,Home for the Holidays,1995,13+,6.6,63%,103
5265,The Wild and Wonderful Whites of West Virginia,2009,18+,7.1,60%,86
5266,"Christmas, Again",2014,,6.6,100%,80
5267,He Walked by Night,1949,,7.2,86%,79
5268,Every Little Step,2008,13+,7.5,92%,96
5269,Prodigy,2017,18+,6,73%,80
5270,Bellflower,2011,18+,6.4,73%,106
5271,Crips and Bloods: Made in America,2008,,6.9,76%,93
5272,StreetDance 3D,2010,13+,5.9,76%,98
5273,David and Lisa,1962,,7.2,83%,95
5274,Shifty,2009,,6.5,96%,85
5275,Life Itself,2018,18+,6.8,14%,117
5276,The Court-Martial of Billy Mitchell,1955,,6.9,100%,100
5277,Fuse,2003,,7.3,80%,105
5278,Is Paris Burning?,1966,7+,6.9,71%,175
5279,The Dog,2013,,6.5,91%,114
5280,Afghan Star,2009,,7.3,100%,87
5281,Interstate 60,2002,18+,7.7,,116
5282,Don't Come Back from the Moon,2019,,5.6,88%,82
5283,Pantani: The Accidental Death of a Cyclist,2014,7+,7,84%,96
5284,The River,1997,,7.3,73%,44
5285,Kill Command,2016,,5.7,75%,99
5286,Father's Little Dividend,1951,,6.6,100%,82
5287,워터댄스,1992,18+,6.7,93%,
5288,Low Tide,2019,18+,6.2,71%,86
5289,Biggie and Tupac,2002,18+,6.8,79%,108
5290,On Her Shoulders,2018,,7.1,96%,95
5291,Most Beautiful Island,2017,,5.7,93%,80
5292,The Watermelon Woman,1996,,6.7,100%,90
5293,The Son of Bigfoot,2017,7+,6.1,76%,92
5294,The Grand Seduction,2013,13+,7,59%,113
5295,Black Pond,2011,,5.9,100%,83
5296,A Man Called Horse,1970,18+,6.9,86%,114
5297,Night Tide,1963,,6.4,100%,86
5298,Choose Me,1984,18+,6.8,93%,106
5299,Nina Forever,2015,18+,5.6,97%,98
5300,Aida's Secrets,2016,,6.7,100%,90
5301,The Grocer's Son,2007,,7,90%,96
5302,Party Girl,1995,18+,6.6,78%,94
5303,Hawking,2013,18+,7.3,85%,90
5304,Rules of Engagement,2000,18+,6.4,36%,22
5305,The Matchmaker,2010,,7.3,88%,97
5306,Paul Williams Still Alive,2011,13+,6.9,97%,87
5307,Birth of the Living Dead,2013,,7,96%,76
5308,Elvis & Nixon,2016,18+,6.4,77%,86
5309,Daughters of Darkness,1971,18+,6.6,73%,87
5310,Archipelago,2011,,6.3,95%,114
5311,Louder Than Bombs,2015,18+,6.6,72%,109
5312,Pray the Devil Back to Hell,2008,,7.7,100%,72
5313,Beat the Devil,1953,,6.5,75%,89
5314,Rob the Mob,2014,18+,6.3,83%,104
5315,No Stone Unturned,2017,7+,7.2,80%,111
5316,Possum,2018,,5.6,90%,85
5317,47 Meters Down: Uncaged,2019,13+,5,42%,90
5318,Soaked in Bleach,2015,13+,7.4,30%,90
5319,Bachna Ae Haseeno,2008,7+,6.2,63%,152
5320,The Uninvited,2009,13+,6.3,31%,87
5321,Return to Homs,2013,13+,7.7,93%,94
5322,Short Eyes,1977,18+,7.1,89%,100
5323,Rift,2017,,5.8,93%,111
5324,Twins of Evil,1971,18+,6.6,79%,87
5325,Welcome to Me,2014,18+,5.9,74%,87
5326,Contract Killer,1998,18+,6.2,80%,98
5327,Love Affair,1939,,7.3,86%,100
5328,The Collector,2009,18+,6.4,29%,90
5329,Les Misérables,2019,18+,7.6,,158
5330,True Legend,2010,18+,6.4,64%,115
5331,The Round Up,2010,,7.1,56%,115
5332,Honey,2013,,6.7,100%,94
5333,The Young Karl Marx,2017,,6.6,60%,118
5334,Punching the Clown,2010,,7.2,87%,91
5335,Toast,2010,,6.6,62%,96
5336,"Yours, Mine and Ours",1968,,7.2,50%,88
5337,Jawaani Jaaneman,2020,,6.7,64%,119
5338,M.O.M. Mothers of Monsters,2020,18+,5.3,73%,98
5339,Believer,2018,7+,7,64%,123
5340,In Syria,2017,,7,89%,85
5341,Never Forever,2007,18+,6.5,80%,104
5342,Blood Tea and Red String,2006,,7.1,91%,71
5343,Mischief Night,2013,,4.6,100%,87
5344,A Kiss Before Dying,1956,,6.7,100%,94
5345,The Bullet Vanishes,2012,13+,6.6,92%,108
5346,Hitler's Children,2011,,7.4,81%,82
5347,Alleluia,2014,,6.2,83%,93
5348,The Wipers Times,2013,7+,7,88%,92
5349,My Kid Could Paint That,2007,13+,7.1,94%,82
5350,Lumumba,2000,,7.2,81%,115
5351,Antrum,2018,,4.7,78%,95
5352,The Snows of Kilimanjaro,1952,,6.2,100%,114
5353,The Evil Within,2017,,5.5,100%,98
5354,Vampire's Kiss,1988,18+,6,61%,103
5355,If Only,2004,13+,7.2,,92
5356,Dark Money,2018,16+,7,96%,220
5357,Arranged,2007,,7.3,64%,90
5358,The Guardians,2017,18+,6.7,95%,89
5359,Girl Model,2011,,6.5,91%,78
5360,Hum Tum,2004,7+,7,,142
5361,The Sadist,1963,,6.7,100%,92
5362,16 Acres,2012,,6.6,100%,95
5363,Foxy Brown,1974,18+,6.5,60%,92
5364,In the Aisles,2018,,6.9,89%,125
5365,Cleanskin,2012,18+,6.3,53%,108
5366,The American Nightmare,2000,18+,7.3,67%,73
5367,The Boy,2016,13+,6,30%,97
5368,Crown Heights,2017,18+,6.5,77%,94
5369,The Russian Woodpecker,2015,,6.8,96%,80
5370,Are We Not Cats,2018,,5.8,91%,77
5371,The Private Lives of Pippa Lee,2009,18+,6.4,69%,98
5372,Eames: The Architect and the Painter,2011,,7.2,88%,85
5373,The Alamo,1960,,6.9,52%,162
5374,Natasha,2015,,6.3,100%,138
5375,"Cinema, Aspirins and Vultures",2005,,7.4,86%,99
5376,Patterns,1956,,7.7,80%,83
5377,Evelyn,2002,7+,7,64%,94
5378,The Island President,2012,7+,7.2,98%,101
5379,Geography Club,2013,13+,6.5,64%,84
5380,Never Goin' Back,2018,18+,6,76%,85
5381,Clear History,2013,18+,6.5,61%,101
5382,In the Mirror of Maya Deren,2002,,7.4,95%,103
5383,Skin,2009,13+,6.9,84%,118
5384,Fritz the Cat,1972,18+,6.3,58%,78
5385,The Secret of Santa Vittoria,1969,13+,7.3,67%,139
5386,They Call Us Monsters,2016,,7.1,82%,82
5387,Undocumented Executive,2013,7+,6.9,100%,95
5388,Nightbreed,1990,18+,6.6,38%,102
5389,The House of Magic,2013,all,6.3,73%,85
5390,The Words,2012,13+,7,25%,102
5391,Party Monster,2003,18+,6.3,29%,98
5392,The President,2014,,7.4,84%,119
5393,Teacher of the Year,2015,,5.4,100%,82
5394,The Brothers Grimm,2005,13+,5.9,38%,118
5395,Free Enterprise,1998,18+,6.8,83%,113
5396,Topper Returns,1941,,6.9,89%,88
5397,The Kill Team,2013,18+,7,90%,87
5398,Sonu Ke Titu Ki Sweety,2018,,7.1,40%,138
5399,The Three Musketeers,1921,,7,100%,110
5400,The Stuff,1985,18+,5.9,69%,87
5401,Landline,2017,18+,6.4,75%,97
5402,Empire of Dreams: The Story of the Star Wars Trilogy,2004,,8.3,,151
5403,Racing Dreams,2010,7+,7,100%,93
5404,The President's Last Bang,2005,,6.9,82%,102
5405,Chi-Raq,2015,18+,5.7,82%,127
5406,Escobar: Paradise Lost,2014,13+,6.5,55%,120
5407,Shoot to Kill,1988,18+,6.8,100%,110
5408,Gabrielle,2013,18+,7,88%,104
5409,Shun Li and the Poet,2011,,7.2,95%,98
5410,Pali Road,2016,7+,7.2,55%,92
5411,Into the Blue,2005,13+,5.9,21%,110
5412,The Little Girl Who Was Too Fond of Matches,2017,16+,7,86%,112
5413,Crimes of the Heart,1986,13+,6.4,81%,105
5414,The Descent: Part 2,2009,18+,5.8,57%,94
5415,Svengali,1931,7+,6.8,83%,93
5416,Scott Walker: 30 Century Man,2007,all,7.2,87%,95
5417,Happy Hunting,2017,,5.1,100%,91
5418,Punk's Not Dead,2007,,7.1,90%,93
5419,Approaching the Elephant,2015,,7,100%,89
5420,Graduation,2018,,7.4,96%,128
5421,The People vs. George Lucas,2010,,6.6,72%,93
5422,A River Below,2017,16+,7.2,100%,86
5423,The Midwife,2017,,6.7,89%,117
5424,Funny Ha Ha,2002,,6.5,88%,85
5425,Me Without You,2001,18+,6.9,66%,107
5426,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016,13+,7.7,84%,96
5427,Tales of Halloween,2015,18+,5.5,79%,92
5428,Street Scene,1931,,7.6,100%,80
5429,Tatsumi,2011,,7.1,94%,96
5430,Deranged,2012,,6.4,60%,84
5431,The Man Who Saved the World,2014,,7.6,68%,91
5432,Voyager,1991,13+,6.7,56%,44
5433,The Kennel Murder Case,1933,,7,83%,73
5434,Dark River,2018,18+,5.8,79%,90
5435,Ex Libris: New York Public Library,2017,,7.4,97%,197
5436,Battle in Seattle,2007,18+,6.7,56%,99
5437,Dark Blue,2002,18+,6.6,59%,118
5438,The Bellboy,1960,,6.5,70%,72
5439,Happythankyoumoreplease,2011,18+,6.8,42%,100
5440,Bottle Shock,2008,13+,6.8,48%,110
5441,Genevieve,1953,,7.1,80%,86
5442,River of Grass,1995,,6.6,94%,76
5443,The Bridesmaid,2004,,6.6,93%,111
5444,Pass Over,2018,,5.6,92%,74
5445,Bad Lucky Goat,2017,,6.8,100%,76
5446,Pussy Riot: A Punk Prayer,2013,,7,83%,88
5447,Listen Up Philip,2014,,6.3,82%,108
5448,Big Nothing,2006,18+,6.8,46%,86
5449,Mayor of the Sunset Strip,2003,18+,7,87%,94
5450,Conquest 1453,2012,,6.7,40%,162
5451,Road to Bali,1953,,6.5,71%,91
5452,"Pulp: a Film About Life, Death & Supermarkets",2014,,7.2,85%,90
