ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
124,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,88%,87
125,Chasing Amy,1997,18+,7.2,87%,113
126,The Princess and the Frog,2009,all,7.1,85%,97
127,Bad Genius,2017,13+,7.6,100%,130
128,The Wicker Man,1973,18+,7.5,89%,88
129,A Single Man,2009,18+,7.6,85%,99
130,Blow,2001,18+,7.6,55%,124
131,The Squid and the Whale,2005,18+,7.3,92%,81
132,My Life as a Zucchini,2016,13+,7.8,99%,66
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94%,94
134,Barfi!,2012,all,8.1,86%,151
135,Frances Ha,2013,18+,7.5,92%,86
136,Tootsie,1982,7+,7.4,90%,116
137,Solo: A Star Wars Story,2018,13+,6.9,70%,135
138,Steve Jobs,2015,18+,7.2,85%,122
139,Tremors,1990,13+,7.1,88%,96
140,The Croods,2013,7+,7.2,71%,98
141,Locke,2014,18+,7.1,91%,85
142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%,80
143,Starred Up,2013,18+,7.4,99%,106
144,Mudbound,2017,18+,7.4,97%,134
145,Austin Powers: International Man of Mystery,1997,13+,7,71%,94
146,Blue Ruin,2013,18+,7.1,96%,90
147,The Patriot,2000,18+,7.2,61%,165
148,Babel,2006,18+,7.4,69%,143
149,The Square,2013,,8.1,100%,151
150,Gerald's Game,2017,18+,6.6,90%,103
151,Miracle,2004,7+,7.5,81%,135
152,Swades,2004,all,8.2,83%,210
153,Tinker Tailor Soldier Spy,2011,18+,7.1,83%,122
154,The Witch,2015,18+,6.9,90%,92
155,Haider,2014,13+,8.1,86%,160
156,Padman,2018,13+,7.9,100%,140
157,Hush,2016,18+,6.6,91%,82
158,Elizabeth,1998,18+,7.4,82%,124
159,Miss Americana,2020,18+,7.4,93%,85
160,Christopher Robin,2018,7+,7.3,73%,104
161,I Lost My Body,2019,18+,7.6,96%,81
162,I Am Mother,2019,13+,6.7,90%,113
163,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%,100
164,The Autopsy of Jane Doe,2016,18+,6.8,86%,86
165,Virunga,2014,,8.2,100%,100
166,Freedom Writers,2007,13+,7.5,70%,123
167,The Master,2012,18+,7.2,85%,138
168,A Serious Man,2009,18+,7,90%,106
169,The King,2019,18+,7.2,70%,140
170,The Breadwinner,2017,13+,7.7,95%,94
171,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,113
172,Article 15,2019,,8.3,89%,130
173,The Killing of a Sacred Deer,2017,18+,7,79%,121
174,Lawless,2012,18+,7.3,67%,116
175,Kabhi Khushi Kabhie Gham,2001,all,7.4,100%,210
176,Charlie and the Chocolate Factory,2005,7+,6.6,82%,115
177,Freaks,2019,18+,6.7,87%,105
178,Hannah Gadsby: Nanette,2018,,8.2,100%,69
179,The Mask of Zorro,1998,13+,6.7,82%,136
180,The Natural,1984,7+,7.5,82%,138
181,Equilibrium,2002,18+,7.4,40%,107
