player,game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
James,1,4/22/2006,EC1,1,CLE,WAS,W (+11),48,12,27,0.444,1,4,0.25,7,11,0.636,3,8,11,11,0,0,4,32,23.3,11
James,2,4/25/2006,EC1,2,CLE,WAS,L (-5),43,7,25,0.28,1,6,0.167,11,15,0.733,2,7,9,2,2,3,10,26,6.7,-2
James,3,4/28/2006,EC1,3,CLE,WAS,W (+1),48,16,28,0.571,3,5,0.6,6,9,0.667,1,4,5,3,2,0,4,41,27.4,1
James,4,4/30/2006,EC1,4,CLE,WAS,L (-10),45,13,23,0.565,7,12,0.583,5,7,0.714,1,5,6,5,0,0,7,38,23,-16
James,5,5/3/2006,EC1,5,CLE,WAS,W (+1),46,14,23,0.609,0,1,0,17,18,0.944,5,2,7,6,2,0,4,45,38.4,-4
James,6,5/5/2006,EC1,6,CLE,WAS,W (+1),53,15,25,0.6,1,6,0.167,1,3,0.333,0,7,7,7,2,1,5,32,22.8,1
James,7,5/7/2006,ECS,1,CLE,DET,L (-27),36,9,18,0.5,2,5,0.4,2,2,1,1,3,4,4,0,0,4,22,12.2,-31
James,8,5/9/2006,ECS,2,CLE,DET,L (-6),48,11,23,0.478,2,5,0.4,6,8,0.75,2,12,14,7,0,0,3,30,22.8,-4
James,9,5/13/2006,ECS,3,CLE,DET,W (+9),48,9,18,0.5,1,4,0.25,2,2,1,0,10,10,10,4,1,4,21,21.9,9
James,10,5/15/2006,ECS,4,CLE,DET,W (+2),48,8,23,0.348,1,2,0.5,5,10,0.5,1,7,8,9,2,2,8,22,10.4,2
James,11,5/17/2006,ECS,5,CLE,DET,W (+2),47,13,30,0.433,1,4,0.25,5,7,0.714,3,2,5,5,2,1,2,32,21.1,2
James,12,5/19/2006,ECS,6,CLE,DET,L (-2),48,8,20,0.4,1,5,0.2,15,18,0.833,0,11,11,5,1,1,7,32,20.7,-2
James,13,5/21/2006,ECS,7,CLE,DET,L (-18),47,11,24,0.458,0,4,0,5,8,0.625,3,5,8,2,1,0,3,27,15.6,-16
James,1,4/22/2007,EC1,1,CLE,WAS,W (+15),44,7,14,0.5,0,2,0,9,11,0.818,2,7,9,7,2,0,1,23,24.2,17
James,2,4/25/2007,EC1,2,CLE,WAS,W (+7),45,8,22,0.364,0,3,0,11,13,0.846,4,4,8,7,1,2,2,27,22.5,12
James,3,4/28/2007,EC1,3,CLE,WAS,W (+6),46,11,22,0.5,3,5,0.6,5,7,0.714,0,6,6,9,1,0,2,30,24.1,6
James,4,4/30/2007,EC1,4,CLE,WAS,W (+7),46,8,22,0.364,1,5,0.2,14,17,0.824,3,8,11,7,3,1,2,31,27.5,12
James,5,5/6/2007,ECS,1,CLE,NJN,W (+4),46,8,21,0.381,1,4,0.25,4,6,0.667,2,9,11,7,1,1,3,21,15.6,6
James,6,5/8/2007,ECS,2,CLE,NJN,W (+10),46,12,24,0.5,3,7,0.429,9,13,0.692,0,1,1,12,3,0,2,36,31.3,8
James,7,5/12/2007,ECS,3,CLE,NJN,L (-11),44,5,16,0.313,1,5,0.2,7,7,1,0,6,6,12,0,0,2,18,16.2,-12
James,8,5/14/2007,ECS,4,CLE,NJN,W (+2),46,9,16,0.563,2,3,0.667,10,15,0.667,0,9,9,7,0,0,3,30,24.6,9
James,9,5/16/2007,ECS,5,CLE,NJN,L (-11),43,5,14,0.357,0,2,0,10,11,0.909,3,6,9,5,2,1,5,20,15.3,-15
James,10,5/18/2007,ECS,6,CLE,NJN,W (+16),39,8,20,0.4,1,5,0.2,6,9,0.667,1,7,8,8,1,0,2,23,16.8,26
James,11,5/21/2007,ECF,1,CLE,DET,L (-3),45,5,15,0.333,0,0,,0,0,,1,9,10,9,4,1,2,10,13.5,-5
James,12,5/24/2007,ECF,2,CLE,DET,L (-3),45,7,19,0.368,0,1,0,5,7,0.714,0,6,6,7,3,0,6,19,11,-6
James,13,5/27/2007,ECF,3,CLE,DET,W (+6),46,12,21,0.571,2,3,0.667,6,9,0.667,1,8,9,9,2,0,3,32,28.5,6
James,14,5/29/2007,ECF,4,CLE,DET,W (+4),44,8,19,0.421,1,5,0.2,8,9,0.889,0,7,7,11,3,0,3,25,24.3,-4
James,15,5/31/2007,ECF,5,CLE,DET,W (+2),50,18,33,0.545,2,3,0.667,10,14,0.714,3,6,9,7,2,0,2,48,38.1,2
James,16,6/2/2007,ECF,6,CLE,DET,W (+16),46,3,11,0.273,0,2,0,14,19,0.737,2,12,14,8,2,2,3,20,22.1,13
James,17,6/7/2007,FIN,1,CLE,SAS,L (-9),44,4,16,0.25,2,6,0.333,4,4,1,1,6,7,4,1,1,6,14,5,-5
James,18,6/10/2007,FIN,2,CLE,SAS,L (-11),38,9,21,0.429,0,2,0,7,11,0.636,3,4,7,6,1,0,6,25,13.6,-5
James,19,6/12/2007,FIN,3,CLE,SAS,L (-3),42,9,23,0.391,0,5,0,7,8,0.875,0,8,8,7,2,1,5,25,15.9,4
James,20,6/14/2007,FIN,4,CLE,SAS,L (-1),46,10,30,0.333,2,7,0.286,2,6,0.333,0,6,6,10,0,0,6,24,7.8,2
James,1,4/19/2008,EC1,1,CLE,WAS,W (+7),41,12,19,0.632,0,2,0,8,14,0.571,0,6,6,4,1,2,1,32,26.7,9
James,2,4/21/2008,EC1,2,CLE,WAS,W (+30),39,9,19,0.474,2,6,0.333,10,17,0.588,1,8,9,12,1,2,1,30,29.6,34
James,3,4/24/2008,EC1,3,CLE,WAS,L (-36),36,10,19,0.526,0,4,0,2,4,0.5,0,7,7,3,1,1,4,22,12.6,-24
James,4,4/27/2008,EC1,4,CLE,WAS,W (+3),44,11,25,0.44,3,8,0.375,9,14,0.643,2,10,12,7,2,0,5,34,23.2,3
James,5,4/30/2008,EC1,5,CLE,WAS,L (-1),44,8,21,0.381,3,9,0.333,15,18,0.833,2,8,10,7,1,2,5,34,27.4,-3
James,6,5/2/2008,EC1,6,CLE,WAS,W (+17),44,8,17,0.471,1,2,0.5,10,10,1,2,11,13,13,2,1,1,27,33,26
James,7,5/6/2008,ECS,1,CLE,BOS,L (-4),39,2,18,0.111,0,6,0,8,10,0.8,2,7,9,9,1,1,10,12,-0.7,-7
James,8,5/8/2008,ECS,2,CLE,BOS,L (-16),42,6,24,0.25,0,4,0,9,13,0.692,2,3,5,6,2,1,7,21,6.8,-15
James,9,5/10/2008,ECS,3,CLE,BOS,W (+24),40,5,16,0.313,3,5,0.6,8,12,0.667,0,5,5,8,4,3,2,21,20.2,29
James,10,5/12/2008,ECS,4,CLE,BOS,W (+11),44,7,20,0.35,2,5,0.4,5,8,0.625,1,5,6,13,3,2,4,21,19.1,15
James,11,5/14/2008,ECS,5,CLE,BOS,L (-7),45,12,25,0.48,0,5,0,11,13,0.846,0,3,3,5,1,1,4,35,22.4,-8
James,12,5/16/2008,ECS,6,CLE,BOS,W (+5),47,9,23,0.391,1,3,0.333,13,15,0.867,3,9,12,6,2,1,8,32,21.6,7
James,13,5/18/2008,ECS,7,CLE,BOS,L (-5),47,14,29,0.483,3,11,0.273,14,19,0.737,1,4,5,6,2,0,2,45,32.8,0
James,1,4/18/2009,EC1,1,CLE,DET,W (+18),41,13,20,0.65,1,4,0.25,11,14,0.786,0,8,8,7,1,0,0,38,35.9,22
James,2,4/21/2009,EC1,2,CLE,DET,W (+12),38,7,14,0.5,2,5,0.4,13,17,0.765,1,12,13,6,0,0,2,29,26.5,21
James,3,4/24/2009,EC1,3,CLE,DET,W (+11),43,9,19,0.474,0,5,0,7,11,0.636,2,9,11,9,3,2,2,25,26.5,13
James,4,4/26/2009,EC1,4,CLE,DET,W (+21),41,10,24,0.417,0,3,0,16,17,0.941,1,12,13,8,2,1,2,36,32.2,10
James,5,5/5/2009,ECS,1,CLE,ATL,W (+27),34,12,20,0.6,2,6,0.333,8,9,0.889,3,7,10,3,4,0,3,34,31.7,13
James,6,5/7/2009,ECS,2,CLE,ATL,W (+20),31,9,14,0.643,3,5,0.6,6,12,0.5,0,3,3,5,4,1,0,27,27.1,23
James,7,5/9/2009,ECS,3,CLE,ATL,W (+15),43,15,25,0.6,5,10,0.5,12,16,0.75,2,10,12,8,1,1,1,47,43.8,26
James,8,5/11/2009,ECS,4,CLE,ATL,W (+10),43,9,22,0.409,3,6,0.5,6,9,0.667,0,8,8,8,1,0,3,27,18.8,1
James,9,5/20/2009,ECF,1,CLE,ORL,L (-1),41,20,30,0.667,3,6,0.5,6,10,0.6,3,3,6,8,2,3,2,49,44.7,7
James,10,5/22/2009,ECF,2,CLE,ORL,W (+1),43,12,23,0.522,1,3,0.333,10,12,0.833,2,2,4,5,1,0,6,35,22.2,-7
James,11,5/24/2009,ECF,3,CLE,ORL,L (-10),42,11,28,0.393,1,8,0.125,18,24,0.75,0,7,7,9,2,1,2,41,31.3,-12
James,12,5/26/2009,ECF,4,CLE,ORL,L (-2),49,13,29,0.448,4,10,0.4,14,18,0.778,1,11,12,7,1,1,8,44,27.9,6
James,13,5/28/2009,ECF,5,CLE,ORL,W (+10),46,11,24,0.458,0,2,0,15,19,0.789,3,11,14,12,1,1,4,37,33.3,11
James,14,5/30/2009,ECF,6,CLE,ORL,L (-13),45,8,20,0.4,2,8,0.25,7,11,0.636,1,6,7,7,0,1,3,25,16.1,-12
James,1,4/17/2010,EC1,1,CLE,CHI,W (+13),40,9,19,0.474,0,1,0,6,7,0.857,0,6,6,5,1,4,3,24,19.2,19
James,2,4/19/2010,EC1,2,CLE,CHI,W (+10),41,16,23,0.696,2,4,0.5,6,6,1,1,7,8,8,1,2,2,40,38.3,6
James,3,4/22/2010,EC1,3,CLE,CHI,L (-2),44,14,26,0.538,4,8,0.5,7,13,0.538,2,8,10,8,2,3,5,39,31.3,5
James,4,4/25/2010,EC1,4,CLE,CHI,W (+23),36,11,17,0.647,6,9,0.667,9,10,0.9,0,12,12,11,2,1,2,37,39.9,29
